Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 241       , 815       , 1        , 0.011                    
 754       , 889       , 1        , 0.036000000000000004     
 178       , 151       , 1        , 0.007                    
 591       , 893       , 1        , 0.028                    
 652       , 811       , 1        , 0.032                    
 633       , 383       , 1        , 0.018000000000000002     
 312       , 959       , 1        , 0.015000000000000001     
 845       , 753       , 1        , 0.037                    
 492       , 299       , 1        , 0.014                    
 114       , 961       , 1        , 0.006                    
 438       , 567       , 3        , 0.020999999999999998     
 717       , 112       , 1        , 0.006                    
 530       , 665       , 5        , 0.026                    
 60        , 49        , 1        , 0.004                    
 977       , 944       , 1        , 0.048                    
 549       , 836       , 1        , 0.027                    
 804       , 102       , 6        , 0.005                    
 82        , 268       , 2        , 0.004                    
 878       , 100       , 2        , 0.005                    
 740       , 804       , 4        , 0.036000000000000004     
 64        , 827       , 1        , 0.004                    
 299       , 912       , 1        , 0.014                    
 707       , 925       , 1        , 0.034                    
 449       , 492       , 1        , 0.022                    
 993       , 559       , 1        , 0.027                    
 110       , 211       , 1        , 0.006                    
 703       , 408       , 1        , 0.02                     
 34        , 956       , 2        , 0.003                    
 857       , 926       , 1        , 0.041999999999999996     
 503       , 447       , 1        , 0.022                    
 380       , 730       , 10       , 0.018000000000000002     
 929       , 76        , 1        , 0.004                    
 660       , 216       , 12       , 0.011                    
 615       , 198       , 3        , 0.009000000000000001     
 523       , 268       , 1        , 0.013                    
 10        , 558       , 2        , 0.001                    
 703       , 939       , 1        , 0.034999999999999996     
 627       , 117       , 3        , 0.006                    
 57        , 544       , 1        , 0.003                    
 363       , 230       , 1        , 0.01                     
 403       , 876       , 1        , 0.019                    
 48        , 191       , 1        , 0.005                    
 462       , 899       , 1        , 0.022                    
 18        , 627       , 3        , 0.002                    
 106       , 530       , 106      , 0.001                    
 706       , 741       , 1        , 0.034                    
 589       , 219       , 1        , 0.01                     
 586       , 525       , 1        , 0.025                    
 919       , 817       , 1        , 0.04                     
 437       , 950       , 19       , 0.02                     
 454       , 599       , 1        , 0.020999999999999998     
 849       , 86        , 1        , 0.005                    
