Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 966       , 111       , 3        , 0.011                    
 1         , 848       , 1        , 0.001                    
 482       , 941       , 1        , 0.043000000000000003     
 297       , 733       , 1        , 0.026                    
 71        , 477       , 1        , 0.007                    
 865       , 208       , 1        , 0.018000000000000002     
 17        , 769       , 1        , 0.003                    
 878       , 31        , 1        , 0.004                    
 979       , 397       , 1        , 0.034                    
 654       , 964       , 2        , 0.058                    
 216       , 843       , 3        , 0.02                     
 865       , 847       , 1        , 0.075                    
 236       , 457       , 1        , 0.020999999999999998     
 464       , 571       , 1        , 0.041                    
 176       , 131       , 1        , 0.012                    
 381       , 947       , 1        , 0.033                    
 419       , 787       , 1        , 0.036000000000000004     
 331       , 133       , 1        , 0.012                    
 424       , 83        , 1        , 0.009000000000000001     
 691       , 787       , 1        , 0.061                    
 981       , 403       , 1        , 0.034999999999999996     
 328       , 981       , 1        , 0.027                    
 402       , 856       , 2        , 0.034999999999999996     
 747       , 975       , 3        , 0.06499999999999999      
 279       , 498       , 3        , 0.022                    
 866       , 636       , 2        , 0.055                    
 234       , 908       , 2        , 0.020999999999999998     
 562       , 424       , 2        , 0.04                     
 464       , 846       , 2        , 0.041999999999999996     
 402       , 745       , 1        , 0.034999999999999996     
 975       , 752       , 1        , 0.067                    
 652       , 614       , 2        , 0.056                    
 413       , 815       , 1        , 0.036000000000000004     
 901       , 874       , 1        , 0.08                     
 200       , 203       , 1        , 0.017                    
 610       , 536       , 2        , 0.046                    
 881       , 232       , 1        , 0.019                    
 947       , 126       , 1        , 0.011                    
 972       , 409       , 1        , 0.044                    
 229       , 188       , 1        , 0.018000000000000002     
 840       , 709       , 1        , 0.067                    
 590       , 203       , 1        , 0.019                    
 294       , 750       , 6        , 0.025                    
 373       , 816       , 1        , 0.033                    
 416       , 991       , 1        , 0.037                    
 160       , 35        , 5        , 0.005                    
 490       , 465       , 5        , 0.04                     
 957       , 150       , 3        , 0.013                    
 475       , 359       , 1        , 0.029                    
 241       , 116       , 1        , 0.01                     
 63        , 650       , 1        , 0.007                    
 701       , 810       , 1        , 0.063                    
 966       , 943       , 23       , 0.088                    
 102       , 421       , 1        , 0.01                     
 538       , 270       , 2        , 0.023                    
 879       , 46        , 1        , 0.005                    
 990       , 493       , 1        , 0.045000000000000005     
 757       , 299       , 1        , 0.026                    
 767       , 256       , 1        , 0.02                     
 839       , 712       , 1        , 0.061                    
 708       , 258       , 6        , 0.023                    
 152       , 907       , 1        , 0.014                    
 208       , 231       , 1        , 0.018000000000000002     
 437       , 797       , 1        , 0.037                    
 835       , 283       , 1        , 0.023                    
 235       , 283       , 1        , 0.020999999999999998     
 82        , 880       , 2        , 0.008                    
 664       , 75        , 1        , 0.008                    
 893       , 544       , 1        , 0.049                    
